Capability ID,Area,Haskell source,Python target,User-visible behavior,Priority,State,Verification level,Known divergences,Notes
INV-CORE-APP-001,Program/App,src/Text/Pandoc/App.hs,src/pandoc_py/cli/,Top-level application orchestration and conversion flow,high,verified_smoke,smoke,,Main app orchestration in main repo Admitted to active matrix in v36 control tranche.
INV-CORE-OPTIONS-001,Program/Options,src/Text/Pandoc/Options.hs,src/pandoc_py/cli/options.py,Core option model and compatibility surface,high,verified_smoke,smoke,,Critical for CLI parity Admitted to active matrix in v36 control tranche.
INV-CORE-PARSING-001,Parsing,src/Text/Pandoc/Parsing.hs and src/Text/Pandoc/Parsing/*,src/pandoc_py/parsing/,Shared parsing primitives reused across readers,high,verified_smoke,smoke,,Shared parsing substrate Admitted to active matrix in v36 control tranche.
INV-CORE-CLASS-001,Runtime,src/Text/Pandoc/Class.hs and src/Text/Pandoc/Class/*,src/pandoc_py/runtime/,Runtime/monad/common state layer,medium,mapped_only,none,,Port policy still open
INV-CORE-FILTER-001,Filter,src/Text/Pandoc/Filter.hs and src/Text/Pandoc/Filter/*,src/pandoc_py/filters/,JSON filter and environment integration,medium,mapped_only,none,,Keep behind core conversion priorities
INV-CORE-CITEPROC-001,Citeproc,src/Text/Pandoc/Citeproc.hs and src/Text/Pandoc/Citeproc/*,src/pandoc_py/citeproc/,Integrated citeproc support living in main repo,medium,mapped_only,none,,Rendering layer distinct from citation parsing
INV-EXT-AST-001,External dependency,pandoc-types package (not present in archive),src/pandoc_py/ast/,Canonical Pandoc AST source package required for full structural parity,high,verified_smoke,smoke,,Admitted to active matrix after local pandoc-types source anchor and coverage assets.
INV-RD-ASCIIDOC-001,Reader,src/Text/Pandoc/Readers/AsciiDoc.hs,src/pandoc_py/readers/asciidoc.py,AsciiDoc reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-BIBTEX-001,Reader,src/Text/Pandoc/Readers/BibTeX.hs,src/pandoc_py/readers/bibtex.py,BibTeX reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-CSV-001,Reader,src/Text/Pandoc/Readers/CSV.hs,src/pandoc_py/readers/csv.py,CSV reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-COMMONMARK-001,Reader,src/Text/Pandoc/Readers/CommonMark.hs,src/pandoc_py/readers/commonmark.py,CommonMark reader family mapped from Haskell reference,medium,verified_smoke,smoke,,Module-level inventory seed only Module-family reader admission backed by commonmark input differential corpus.
INV-RD-CREOLE-001,Reader,src/Text/Pandoc/Readers/Creole.hs,src/pandoc_py/readers/creole.py,Creole reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-CSLJSON-001,Reader,src/Text/Pandoc/Readers/CslJson.hs,src/pandoc_py/readers/csljson.py,CslJson reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-DJOT-001,Reader,src/Text/Pandoc/Readers/Djot.hs,src/pandoc_py/readers/djot.py,Djot reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-DOCBOOK-001,Reader,src/Text/Pandoc/Readers/DocBook.hs,src/pandoc_py/readers/docbook.py,DocBook reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-DOCX-001,Reader,src/Text/Pandoc/Readers/Docx.hs,src/pandoc_py/readers/docx.py,Docx reader family mapped from Haskell reference,high,mapped_only,none,,Module-level inventory seed only
INV-RD-DOKUWIKI-001,Reader,src/Text/Pandoc/Readers/DokuWiki.hs,src/pandoc_py/readers/dokuwiki.py,DokuWiki reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-EPUB-001,Reader,src/Text/Pandoc/Readers/EPUB.hs,src/pandoc_py/readers/epub.py,EPUB reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-ENDNOTE-001,Reader,src/Text/Pandoc/Readers/EndNote.hs,src/pandoc_py/readers/endnote.py,EndNote reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-FB2-001,Reader,src/Text/Pandoc/Readers/FB2.hs,src/pandoc_py/readers/fb2.py,FB2 reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-HTML-001,Reader,src/Text/Pandoc/Readers/HTML.hs,src/pandoc_py/readers/html.py,HTML reader family mapped from Haskell reference,high,verified_smoke,smoke,,Admitted to active matrix in v38 after dedicated HTML-input differential corpus passed.
INV-RD-HADDOCK-001,Reader,src/Text/Pandoc/Readers/Haddock.hs,src/pandoc_py/readers/haddock.py,Haddock reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-IPYNB-001,Reader,src/Text/Pandoc/Readers/Ipynb.hs,src/pandoc_py/readers/ipynb.py,Ipynb reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-JATS-001,Reader,src/Text/Pandoc/Readers/JATS.hs,src/pandoc_py/readers/jats.py,JATS reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-JIRA-001,Reader,src/Text/Pandoc/Readers/Jira.hs,src/pandoc_py/readers/jira.py,Jira reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-LATEX-001,Reader,src/Text/Pandoc/Readers/LaTeX.hs,src/pandoc_py/readers/latex.py,LaTeX reader family mapped from Haskell reference,high,mapped_only,none,,Module-level inventory seed only
INV-RD-MAN-001,Reader,src/Text/Pandoc/Readers/Man.hs,src/pandoc_py/readers/man.py,Man reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-MARKDOWN-001,Reader,src/Text/Pandoc/Readers/Markdown.hs,src/pandoc_py/readers/markdown.py,Markdown reader family mapped from Haskell reference,high,verified_smoke,smoke,,Module-level inventory seed only Module-family reader admission backed by markdown smoke reports already in active bundle.
INV-RD-MDOC-001,Reader,src/Text/Pandoc/Readers/Mdoc.hs,src/pandoc_py/readers/mdoc.py,Mdoc reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-MEDIAWIKI-001,Reader,src/Text/Pandoc/Readers/MediaWiki.hs,src/pandoc_py/readers/mediawiki.py,MediaWiki reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-METADATA-001,Reader,src/Text/Pandoc/Readers/Metadata.hs,src/pandoc_py/readers/metadata.py,Metadata reader family mapped from Haskell reference,medium,verified_smoke,smoke,,Module-level inventory seed only Admitted to active matrix in v41 metadata/front-matter tranche.
INV-RD-MUSE-001,Reader,src/Text/Pandoc/Readers/Muse.hs,src/pandoc_py/readers/muse.py,Muse reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-NATIVE-001,Reader,src/Text/Pandoc/Readers/Native.hs,src/pandoc_py/readers/native.py,Native reader family mapped from Haskell reference,high,mapped_only,none,,Module-level inventory seed only
INV-RD-ODT-001,Reader,src/Text/Pandoc/Readers/ODT.hs,src/pandoc_py/readers/odt.py,ODT reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-OPML-001,Reader,src/Text/Pandoc/Readers/OPML.hs,src/pandoc_py/readers/opml.py,OPML reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-ORG-001,Reader,src/Text/Pandoc/Readers/Org.hs,src/pandoc_py/readers/org.py,Org reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-POD-001,Reader,src/Text/Pandoc/Readers/Pod.hs,src/pandoc_py/readers/pod.py,Pod reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-PPTX-001,Reader,src/Text/Pandoc/Readers/Pptx.hs,src/pandoc_py/readers/pptx.py,Pptx reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-RIS-001,Reader,src/Text/Pandoc/Readers/RIS.hs,src/pandoc_py/readers/ris.py,RIS reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-RST-001,Reader,src/Text/Pandoc/Readers/RST.hs,src/pandoc_py/readers/rst.py,RST reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-RTF-001,Reader,src/Text/Pandoc/Readers/RTF.hs,src/pandoc_py/readers/rtf.py,RTF reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-ROFF-001,Reader,src/Text/Pandoc/Readers/Roff.hs,src/pandoc_py/readers/roff.py,Roff reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-TWIKI-001,Reader,src/Text/Pandoc/Readers/TWiki.hs,src/pandoc_py/readers/twiki.py,TWiki reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-TEXTILE-001,Reader,src/Text/Pandoc/Readers/Textile.hs,src/pandoc_py/readers/textile.py,Textile reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-TIKIWIKI-001,Reader,src/Text/Pandoc/Readers/TikiWiki.hs,src/pandoc_py/readers/tikiwiki.py,TikiWiki reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-TXT2TAGS-001,Reader,src/Text/Pandoc/Readers/Txt2Tags.hs,src/pandoc_py/readers/txt2tags.py,Txt2Tags reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-TYPST-001,Reader,src/Text/Pandoc/Readers/Typst.hs,src/pandoc_py/readers/typst.py,Typst reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-VIMWIKI-001,Reader,src/Text/Pandoc/Readers/Vimwiki.hs,src/pandoc_py/readers/vimwiki.py,Vimwiki reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-XML-001,Reader,src/Text/Pandoc/Readers/XML.hs,src/pandoc_py/readers/xml.py,XML reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-RD-XLSX-001,Reader,src/Text/Pandoc/Readers/Xlsx.hs,src/pandoc_py/readers/xlsx.py,Xlsx reader family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-ANSI-001,Writer,src/Text/Pandoc/Writers/ANSI.hs,src/pandoc_py/writers/ansi.py,ANSI writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-ANNOTATEDTABLE-001,Writer,src/Text/Pandoc/Writers/AnnotatedTable.hs,src/pandoc_py/writers/annotatedtable.py,AnnotatedTable writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-ASCIIDOC-001,Writer,src/Text/Pandoc/Writers/AsciiDoc.hs,src/pandoc_py/writers/asciidoc.py,AsciiDoc writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-BBCODE-001,Writer,src/Text/Pandoc/Writers/BBCode.hs,src/pandoc_py/writers/bbcode.py,BBCode writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-BIBTEX-001,Writer,src/Text/Pandoc/Writers/BibTeX.hs,src/pandoc_py/writers/bibtex.py,BibTeX writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-BLAZE-001,Writer,src/Text/Pandoc/Writers/Blaze.hs,src/pandoc_py/writers/blaze.py,Blaze writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-CHUNKEDHTML-001,Writer,src/Text/Pandoc/Writers/ChunkedHTML.hs,src/pandoc_py/writers/chunkedhtml.py,ChunkedHTML writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-COMMONMARK-001,Writer,src/Text/Pandoc/Writers/CommonMark.hs,src/pandoc_py/writers/commonmark.py,CommonMark writer family mapped from Haskell reference,medium,verified_smoke,smoke,,Module-level inventory seed only Module-family writer admission backed by commonmark round-trip differential corpus.
INV-WR-CONTEXT-001,Writer,src/Text/Pandoc/Writers/ConTeXt.hs,src/pandoc_py/writers/context.py,ConTeXt writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-CSLJSON-001,Writer,src/Text/Pandoc/Writers/CslJson.hs,src/pandoc_py/writers/csljson.py,CslJson writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-DJOT-001,Writer,src/Text/Pandoc/Writers/Djot.hs,src/pandoc_py/writers/djot.py,Djot writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-DOCBOOK-001,Writer,src/Text/Pandoc/Writers/DocBook.hs,src/pandoc_py/writers/docbook.py,DocBook writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-DOCX-001,Writer,src/Text/Pandoc/Writers/Docx.hs,src/pandoc_py/writers/docx.py,Docx writer family mapped from Haskell reference,high,mapped_only,none,,Module-level inventory seed only
INV-WR-DOKUWIKI-001,Writer,src/Text/Pandoc/Writers/DokuWiki.hs,src/pandoc_py/writers/dokuwiki.py,DokuWiki writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-EPUB-001,Writer,src/Text/Pandoc/Writers/EPUB.hs,src/pandoc_py/writers/epub.py,EPUB writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-FB2-001,Writer,src/Text/Pandoc/Writers/FB2.hs,src/pandoc_py/writers/fb2.py,FB2 writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-GRIDTABLE-001,Writer,src/Text/Pandoc/Writers/GridTable.hs,src/pandoc_py/writers/gridtable.py,GridTable writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-HTML-001,Writer,src/Text/Pandoc/Writers/HTML.hs,src/pandoc_py/writers/html.py,HTML writer family mapped from Haskell reference,high,verified_smoke,smoke,,Module-level inventory seed only Module-family writer admission backed by normalized HTML differential corpus.
INV-WR-HADDOCK-001,Writer,src/Text/Pandoc/Writers/Haddock.hs,src/pandoc_py/writers/haddock.py,Haddock writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-ICML-001,Writer,src/Text/Pandoc/Writers/ICML.hs,src/pandoc_py/writers/icml.py,ICML writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-IPYNB-001,Writer,src/Text/Pandoc/Writers/Ipynb.hs,src/pandoc_py/writers/ipynb.py,Ipynb writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-JATS-001,Writer,src/Text/Pandoc/Writers/JATS.hs,src/pandoc_py/writers/jats.py,JATS writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-JIRA-001,Writer,src/Text/Pandoc/Writers/Jira.hs,src/pandoc_py/writers/jira.py,Jira writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-LATEX-001,Writer,src/Text/Pandoc/Writers/LaTeX.hs,src/pandoc_py/writers/latex.py,LaTeX writer family mapped from Haskell reference,high,mapped_only,none,,Module-level inventory seed only
INV-WR-MAN-001,Writer,src/Text/Pandoc/Writers/Man.hs,src/pandoc_py/writers/man.py,Man writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-MARKDOWN-001,Writer,src/Text/Pandoc/Writers/Markdown.hs,src/pandoc_py/writers/markdown.py,Markdown writer family mapped from Haskell reference,high,verified_smoke,smoke,,Module-level inventory seed only Module-family writer admission backed by markdown output smoke reports already in active bundle.
INV-WR-MATH-001,Writer,src/Text/Pandoc/Writers/Math.hs,src/pandoc_py/writers/math.py,Math writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-MEDIAWIKI-001,Writer,src/Text/Pandoc/Writers/MediaWiki.hs,src/pandoc_py/writers/mediawiki.py,MediaWiki writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-MS-001,Writer,src/Text/Pandoc/Writers/Ms.hs,src/pandoc_py/writers/ms.py,Ms writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-MUSE-001,Writer,src/Text/Pandoc/Writers/Muse.hs,src/pandoc_py/writers/muse.py,Muse writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-NATIVE-001,Writer,src/Text/Pandoc/Writers/Native.hs,src/pandoc_py/writers/native.py,Native writer family mapped from Haskell reference,high,verified_smoke,smoke,,Module-level inventory seed only Module-family writer admission backed by native round-trip differential corpus.
INV-WR-ODT-001,Writer,src/Text/Pandoc/Writers/ODT.hs,src/pandoc_py/writers/odt.py,ODT writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-OOXML-001,Writer,src/Text/Pandoc/Writers/OOXML.hs,src/pandoc_py/writers/ooxml.py,OOXML writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-OPML-001,Writer,src/Text/Pandoc/Writers/OPML.hs,src/pandoc_py/writers/opml.py,OPML writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-OPENDOCUMENT-001,Writer,src/Text/Pandoc/Writers/OpenDocument.hs,src/pandoc_py/writers/opendocument.py,OpenDocument writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-ORG-001,Writer,src/Text/Pandoc/Writers/Org.hs,src/pandoc_py/writers/org.py,Org writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-POWERPOINT-001,Writer,src/Text/Pandoc/Writers/Powerpoint.hs,src/pandoc_py/writers/powerpoint.py,Powerpoint writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-RST-001,Writer,src/Text/Pandoc/Writers/RST.hs,src/pandoc_py/writers/rst.py,RST writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-RTF-001,Writer,src/Text/Pandoc/Writers/RTF.hs,src/pandoc_py/writers/rtf.py,RTF writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-ROFF-001,Writer,src/Text/Pandoc/Writers/Roff.hs,src/pandoc_py/writers/roff.py,Roff writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-SHARED-001,Writer,src/Text/Pandoc/Writers/Shared.hs,src/pandoc_py/writers/shared.py,Shared writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-TEI-001,Writer,src/Text/Pandoc/Writers/TEI.hs,src/pandoc_py/writers/tei.py,TEI writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-TEXINFO-001,Writer,src/Text/Pandoc/Writers/Texinfo.hs,src/pandoc_py/writers/texinfo.py,Texinfo writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-TEXTILE-001,Writer,src/Text/Pandoc/Writers/Textile.hs,src/pandoc_py/writers/textile.py,Textile writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-TYPST-001,Writer,src/Text/Pandoc/Writers/Typst.hs,src/pandoc_py/writers/typst.py,Typst writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-VIMDOC-001,Writer,src/Text/Pandoc/Writers/Vimdoc.hs,src/pandoc_py/writers/vimdoc.py,Vimdoc writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-XML-001,Writer,src/Text/Pandoc/Writers/XML.hs,src/pandoc_py/writers/xml.py,XML writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-XWIKI-001,Writer,src/Text/Pandoc/Writers/XWiki.hs,src/pandoc_py/writers/xwiki.py,XWiki writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-WR-ZIMWIKI-001,Writer,src/Text/Pandoc/Writers/ZimWiki.hs,src/pandoc_py/writers/zimwiki.py,ZimWiki writer family mapped from Haskell reference,medium,mapped_only,none,,Module-level inventory seed only
INV-LUA-ENGINE-001,Lua,pandoc-lua-engine/src/Text/Pandoc/Lua.hs and submodules,src/pandoc_py/lua/,Lua engine and module bridge family,medium,mapped_only,none,,Separate package root in archive
INV-SERVER-001,Server,pandoc-server/src/Text/Pandoc/Server.hs,src/pandoc_py/server/,Server entry surface,low,mapped_only,none,,Should remain deferred behind core CLI parity
INV-CLI-BIN-001,CLI,pandoc-cli/src/pandoc.hs,src/pandoc_py/cli/__main__.py,Executable entry point and packaging surface,high,verified_smoke,smoke,,Binary wrapper layer Executable entrypoint admission backed by -m pandoc_py and -m pandoc_py.cli surface tests.
